	Country.Name	FSI	gdp_growth	employment	water_access	real_interest_rate	energy_use	death_rate	internet_users	net_flow_ext_debt	tax_rate	infant_deaths	electro_access	import_good_serv	urban_population	school_primary_enr	sanit_facil	tax_income	sci_articles	employment
1	Afghanistan	109.3	8.43329048161792	44.0	48.0	5.7130219412727	2572.608479264877	8.684	4.0	83657000.0	36.3	81775	41.0	44.9434783455166	24.689	99.3988189697266	29.3	18245323987.15	5.5	44.0
2	Angola	83.7	3.40765479391563	64.90000152587889	47.1	0.12227722625147698	639.228247148886	14.887	10.0	-29439000.0	52.1	108137	34.6	42.94996785427939	40.097	123.83676147460899	46.2	920378821175.9	6.9	64.90000152587889
3	Albania	67.1	3.70690567185498	47.2999992370605	95.6	7.97100278001837	724.562919388497	6.596	45.0	743823000.0	39.7	483	100.0	53.0245352500111	52.163000000000004	105.25319197518485	90.9	1353034743860.0757	18.3	47.2999992370605
4	United Arab Emirates	52.4	1.6354490566973998	74.9000015258789	99.6	5.02405073343827	7414.6585616126295	1.095	68.0	4168681745.762712	14.1	672	94.1	72.246578367677	84.055	112.71839141845699	97.5	1353034743860.0757	276.1	74.9000015258789
5	Argentina	45.8	9.451578331466349	55.7999992370605	98.2	-5.676170956295481	1910.00894527614	7.728	45.0	-1417483000.0	107.4	9495	94.0	14.8447403469592	90.96600000000001	118.434768676758	94.9	1353034743860.0757	3767.6	55.7999992370605
6	Armenia	74.1	2.1999999991457004	49.9000015258789	98.4	10.6076357887351	837.9535521559669	8.611	25.0	1139421000.0	38.6	749	99.8	45.3171919668174	63.58	105.25319197518485	89.5	151753625090.0	183.4	49.9000015258789
7	Antigua and Barbuda	60.9	-7.14299133491195	58.538823621413286	97.9	9.50352706247498	2572.608479264877	6.266	47.0	4168681745.762712	41.0	11	87.87328000000001	59.7892161118847	26.239	103.39949035644501	91.4	92400000.0	0.1	58.538823621413286
8	Australia	27.3	1.96236610119051	62.2000007629395	100.0	6.2057364637191395	5559.7519035029	6.5	76.0	4168681745.762712	47.5	1276	100.0	20.432853525472602	88.73299999999999	104.431381225586	100.0	187006000000.0	19516.7	62.2000007629395
9	Austria	27.2	1.8801176594148201	57.9000015258789	100.0	5.02405073343827	4080.23455521221	9.2	75.17	4168681745.762712	53.2	278	100.0	47.5444405129842	65.852	100.15052032470699	100.0	23799960000.0	4922.8	57.9000015258789
10	Azerbaijan	84.4	4.85433932383958	60.9000015258789	82.8	6.10377760638816	1279.552594272	5.9	46.0	2300246000.0	40.9	5597	99.5	20.6812669257035	53.401	93.76229858398442	81.6	2026500000.0	144.7	60.9000015258789
11	Burundi	96.7	3.78590254312172	76.4000015258789	74.7	0.103918607906792	2572.608479264877	13.600999999999999	1.0	57287000.0	154.5	26039	5.3	39.1790536206786	10.640999999999998	135.123107910156	46.9	1353034743860.0757	5.9	76.4000015258789
12	Belgium	32.0	2.5010545665515	49.4000015258789	100.0	5.02405073343827	5544.3336942523	9.6	75.0	4168681745.762712	56.7	477	100.0	74.4703305837095	97.641	104.04486083984399	99.5	50556900000.0	7389.4	49.4000015258789
13	Benin	76.8	2.6114870727052004	72.0	74.5	5.02405073343827	384.167991791203	9.841000000000001	3.13	309071000.0	65.2	24776	27.9	24.6376811594203	41.854	116.28954315185499	17.3	104846261932.0	47.0	72.0
14	Burkina Faso	90.7	8.44632518323235	80.8000030517578	78.2	5.02405073343827	2572.608479264877	11.993	2.4	266364000.0	44.8	44999	13.1	29.640088938434	25.665	78.3554229736328	17.4	133581197809.0	54.3	80.8000030517578
15	Bangladesh	96.1	5.571802273968659	67.5	83.5	5.46490313781991	201.723817147228	5.903	3.7	1206692000.0	35.8	123231	55.2	21.7787299851405	30.462	104.461738586426	55.8	162347076000.0	270.2	67.5
16	Bulgaria	61.2	0.655325112354802	47.9000015258789	99.5	9.78533337110961	2420.08875819254	14.9	46.23	-4634703000.0	28.0	872	100.0	57.933816173778105	72.30199999999999	103.201820373535	85.9	3366007000.0	675.0	47.9000015258789
17	Bahrain	58.8	4.33440708785906	65.3000030517578	100.0	-0.180112630343728	9871.42190040743	2.309	55.0	4168681745.762712	13.5	129	94.1	50.9350767827277	88.535	105.25319197518485	99.2	1353034743860.0757	42.1	65.3000030517578
18	Bahamas, The	58.9	1.53877885334302	63.2000007629395	98.1	5.9158730616385595	2572.608479264877	5.9	43.0	4168681745.762712	42.9	71	100.0	49.238012637839205	82.54899999999999	107.962890625	91.4	1353034743860.0757	2.8	63.2000007629395
19	Bosnia and Herzegovina	83.5	0.7000001258816011	32.9000015258789	99.2	6.148068712690249	1680.17353721705	9.636000000000001	42.75	-429153000.0	22.2	276	99.7	51.0770401001371	39.226	105.25319197518485	94.8	625354603.56	68.2	32.9000015258789
20	Belarus	78.7	7.74078121556398	51.7000007629395	99.6	-1.66993270358949	2897.6230769230797	14.4	31.8	6007895000.0	80.5	519	100.0	66.89561583719461	74.615	103.408348083496	94.5	3535322103200.0	335.2	51.7000007629395
21	Belize	68.7	3.32387112431658	58.4000015258789	97.2	12.602150910773199	2572.608479264877	4.591	28.2	-26451000.0	33.2	120	99.3	57.471896788338796	44.963	120.61302947998001	89.2	240125000.0	2.8	58.4000015258789
22	Bolivia	84.9	4.12672259105675	69.90000152587889	86.9	1.0410413624763701	755.6470928072459	7.289	22.4	36893000.0	80.0	9137	80.2	34.3241704723204	66.426	98.0042266845703	46.7	1353034743860.0757	42.5	69.90000152587889
23	Brazil	67.4	7.57206715522901	64.5	96.9	28.9471112011313	1338.58958871663	6.386	40.65	79060839000.0	66.3	42049	98.0	11.776239536795401	84.335	105.25319197518485	80.5	241042681483.0	12529.5	64.5
24	Barbados	55.4	0.25347034296604	63.5	99.1	12.811911697992198	2572.608479264877	9.289	65.1	4168681745.762712	46.589940828402376	45	87.87328000000001	50.389157575075906	32.06	105.680709838867	93.5	762703518.0	12.9	63.5
25	Brunei Darussalam	67.6	2.59896591145292	62.5	86.4758620689655	0.18161817162020602	8238.79359881211	2.97	53.0	4168681745.762712	15.7	45	72.6	32.8726559352737	75.51	101.023597717285	70.45574712643679	1353034743860.0757	10.0	62.5
26	Bhutan	87.3	11.730854360336401	69.099998474121	96.0	7.5618726797707305	2572.608479264877	6.667999999999999	13.6	132203000.0	40.8	516	72.0	70.73120267045529	34.793	110.489433288574	46.8	1353034743860.0757	4.9	69.099998474121
27	Botswana	68.6	8.56325712893774	62.9000015258789	95.9	2.3297301663836296	1065.8945977475698	17.361	6.0	89140000.0	19.5	2044	43.1	49.7170850014745	56.235	105.25319197518485	60.6	9362100000.0	32.9	62.9000015258789
28	Central African Republic	106.4	3.0466568515619303	73.1999969482422	67.2	5.02405073343827	2572.608479264877	16.18	2.0	29419000.0	203.8	14969	9.5	26.5098033154807	38.828	93.7123489379883	20.7	13805830864.0	5.5	73.1999969482422
29	Canada	27.9	3.37424855472442	61.2999992370605	99.8	-0.0415496306121535	7390.3729756743005	7.1	80.3	4168681745.762712	22.0	1939	100.0	30.9618904025062	80.937	98.6534881591797	99.8	150684000000.0	3118.079651162792	61.2999992370605
30	Switzerland	21.8	2.95380658406297	64.8000030517578	100.0	2.43768797452935	3348.0817476599395	8.0	83.9	4168681745.762712	28.8	315	100.0	53.522544167186204	73.663	102.515487670898	99.9	22429778523.445	9626.8	64.8000030517578
31	Chile	38.0	5.7537089031463005	55.4000015258789	98.2	-3.7444492734974197	1812.68980257946	5.4510000000000005	45.0	4168681745.762712	24.5	1815	99.0	31.6694177811717	88.586	102.234619140625	97.7	6500790476286.34	1867.2	55.4000015258789
32	China	83.0	10.6317082336546	67.8000030517578	91.4	-1.05440557448677	1888.6417177180301	7.11	34.3	122201090000.0	63.5	216375	99.7	23.159356659158803	49.226000000000006	128.85510253906298	70.8	1069814500000.0	79991.3	67.8000030517578
33	Cote d'Ivoire	101.2	2.01763859205303	64.599998474121	80.7	5.02405073343827	501.885259903693	14.875	2.7	451686000.0	50.2	56440	58.9	43.326791198471604	50.556999999999995	105.25319197518485	20.9	423500000000.0	46.1	64.599998474121
34	Cameroon	95.4	3.26864887397058	67.1999969482422	72.1	5.02405073343827	338.347482300961	12.585999999999999	4.3	123834000.0	48.8	50648	49.0	23.0135406348536	51.516000000000005	106.038429260254	44.7	1353034743860.0757	149.5	67.1999969482422
35	Congo, Rep.	109.9	8.75165579918742	65.90000152587889	74.3	5.02405073343827	375.256205119528	11.102	5.0	439234000.0	64.5	6310	37.1	54.697925066037705	63.228	111.16903686523399	14.3	1353034743860.0757	18.4	65.90000152587889
36	Congo, Rep.	92.5	8.75165579918742	65.90000152587889	74.3	5.02405073343827	375.256205119528	11.102	5.0	439234000.0	64.5	6310	37.1	54.697925066037705	63.228	111.16903686523399	14.3	1353034743860.0757	18.4	65.90000152587889
37	Colombia	88.2	3.9718007047375	59.0999984741211	91.0	5.3200751696674	679.530366467028	5.529	36.5	10300483000.0	80.3	12208	96.7	17.7648626230447	75.036	114.91374206543001	79.3	20539039000000.0	692.4	59.0999984741211
38	Comoros	85.1	2.19999998173273	53.5999984741211	90.1	6.37999792573225	2572.608479264877	9.186	5.1	-745000.0	217.9	1524	51.5	51.5777240987333	27.918000000000003	105.25319197518485	32.7	1353034743860.0757	0.7	53.5999984741211
39	Cabo Verde	77.2	1.4669127093504	61.7999992370605	88.9	10.482003761478198	2572.608479264877	5.1739999999999995	30.0	179907000.0	37.5	267	67.0	58.0066006500547	61.833	111.12950897216801	64.2	7700712133.0	1.8	61.7999992370605
